GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,R
Lineups,-2738-201939-202691-203084-203110-,A. Iguodala - S. Curry - K. Thompson - H. Barnes - D. Green,1610612744,GSW,37,35,2,0.946,172,142,135.1,94.9,94.9,47.1,40.2,0.659,2.22,21.6,0.289,0.676,0.528,0.135,0.723,0.75,107.6,110.31,91.92,399,0.733,29,8,9128,3765,69,1988,5538,2602,4276,1320,2581,4654,6609,4498,7251,1897,2105,4280,3007,30.284
Lineups,-201587-202699-203954-1629001-1630178-,N. Batum - T. Harris - J. Embiid - D. Melton - T. Maxey,1610612755,PHI,14,12,2,0.857,219,136.1,135.2,102.2,101.3,33.9,34,0.658,3.22,21.6,0.318,0.769,0.566,0.097,0.623,0.672,102.9,103.73,86.44,474,0.657,183,79,12377,4848,36,3502,7749,3877,6523,1071,4330,5627,6242,4894,7871,4938,4515,8651,4507,27.511
Lineups,-201143-203935-1627759-1628369-1629057-,A. Horford - M. Smart - J. Brown - J. Tatum - R. Williams III,1610612738,BOS,34,27,7,0.794,443,119.6,118.8,94,94.2,25.6,24.6,0.633,2.18,20.7,0.264,0.764,0.542,0.134,0.597,0.616,98.8,99.08,82.57,911,0.64,8,6,17218,5963,4,5559,6811,5242,6713,2172,4489,6625,7212,5935,10439,5608,6078,11925,5394,24.6
Lineups,-2585-201142-201939-202691-203110-,Z. Pachulia - K. Durant - S. Curry - K. Thompson - D. Green,1610612744,GSW,43,36,7,0.837,532,120.3,121.3,97.1,98.2,23.1,23.2,0.776,2.4,24,0.267,0.779,0.543,0.146,0.605,0.637,103.6,102.65,85.54,1139,0.638,11,3,12638,3855,8,3373,5498,3730,2766,1223,2067,4959,4986,4236,8076,3342,3627,6774,3838,23.2
Lineups,-2738-101106-201939-202691-203110-,A. Iguodala - A. Bogut - S. Curry - K. Thompson - D. Green,1610612744,GSW,46,42,4,0.913,156,124,119.8,92.2,86.5,31.8,33.3,0.719,1.89,21.8,0.25,0.674,0.503,0.162,0.661,0.678,97.8,102.73,85.61,328,0.694,12,3,11570,3771,77,3245,4739,3118,3234,2213,2540,5120,6622,4828,8206,2624,2777,6667,3346,23.00933333333333
Lineups,-201142-201580-201939-202691-203110-,K. Durant - J. McGee - S. Curry - K. Thompson - D. Green,1610612744,GSW,24,20,4,0.833,126,124.4,127.8,92.2,91.5,32.1,36.3,0.727,3.31,23.8,0.248,0.762,0.529,0.105,0.61,0.635,107.2,106.2,88.5,277,0.672,87,31,11884,3856,97,2857,4974,2844,3179,570,2076,5666,5228,4540,6441,3305,3649,5480,3415,22.8955
Lineups,-201937-203109-203497-204060-1628378-,R. Rubio - J. Crowder - R. Gobert - J. Ingles - D. Mitchell,1610612762,UTA,20,15,5,0.75,194,114.8,114.9,87.3,84.6,27.5,30.3,0.633,1.85,17.4,0.303,0.756,0.536,0.13,0.535,0.591,101.2,102.78,85.65,416,0.688,110,58,13227,4358,53,4268,4757,3571,4913,2588,4997,4555,5954,4746,7933,5213,5151,7812,3591,22.357333333333337
Lineups,-201939-202691-203110-203952-1626172-,S. Curry - K. Thompson - D. Green - A. Wiggins - K. Looney,1610612744,GSW,27,14,13,0.519,331,128.6,128,105.9,106.1,22.6,21.9,0.783,2.97,25.4,0.247,0.749,0.525,0.127,0.65,0.67,103.7,103.81,86.51,710,0.605,29,34,16753,7035,17,4600,8636,5141,4056,1584,2233,7378,7580,6095,9631,4720,4949,9561,5598,21.9
Lineups,-2738-201142-201939-202691-203110-,A. Iguodala - K. Durant - S. Curry - K. Thompson - D. Green,1610612744,GSW,35,26,9,0.743,178,128.5,125.3,99.4,97.3,29.1,28,0.667,2.27,21,0.195,0.686,0.478,0.125,0.658,0.698,108.6,111.15,92.63,415,0.673,23,11,14715,4919,53,3565,6008,3980,4398,1696,3599,7194,7707,7984,8697,3450,3325,6046,3933,21.370833333333334
Lineups,-101108-201568-203471-203500-1628983-,C. Paul - D. Gallinari - D. Schroder - S. Adams - S. Gilgeous-Alexander,1610612760,OKC,39,23,16,0.59,177,132.2,127.9,103.2,98,29,29.9,0.444,1.67,13.6,0.34,0.693,0.537,0.106,0.602,0.671,104.9,109.42,91.18,405,0.684,6,7,13786,5556,45,3334,5733,3640,8005,2785,7243,3465,7100,4674,7001,4108,3621,6337,3638,20.865
Lineups,-2544-201567-202681-202684-202732-,L. James - K. Love - K. Irving - T. Thompson - D. Liggins,1610612739,CLE,12,10,2,0.833,181,126.2,129.6,97.9,98.1,28.3,31.5,0.58,1.87,19.1,0.355,0.802,0.586,0.145,0.617,0.646,99.8,98.35,81.96,372,0.639,378,187,9493,3856,57,2743,5496,3195,5011,2326,3725,3231,4516,3298,8069,3219,3461,8499,3826,20.708
Lineups,-201959-202710-203952-1626145-1626157-,T. Gibson - J. Butler - A. Wiggins - T. Jones - K. Towns,1610612750,MIN,21,12,9,0.571,261,118.3,118.8,94.9,95.1,23.4,23.7,0.608,2.82,19.2,0.315,0.779,0.549,0.097,0.536,0.575,94.3,94.04,78.36,516,0.645,91,98,13747,5432,34,3884,5717,4032,5139,1209,4226,4440,5649,4423,6639,5185,5491,11162,4097,20.704
Lineups,-2738-201142-201939-202691-203110-,A. Iguodala - K. Durant - S. Curry - K. Thompson - D. Green,1610612744,GSW,45,39,6,0.867,224,122.4,120.9,98.3,98.6,24,22.4,0.705,2.25,20.9,0.269,0.638,0.484,0.128,0.591,0.654,107,107.49,89.57,506,0.679,8,2,12479,3827,40,3391,5510,3770,3338,1351,2795,4952,7779,6887,7363,3590,3385,5072,3366,20.67666666666667
Lineups,-200755-203496-203954-203967-1627732-,J. Redick - R. Covington - J. Embiid - D. Saric - B. Simmons,1610612755,PHI,49,33,16,0.673,601,117.1,115.4,95.7,94.9,21.4,20.5,0.633,1.93,19.6,0.266,0.776,0.543,0.141,0.579,0.609,100.4,101.54,84.62,1274,0.624,3,2,13889,4678,6,4211,5699,4193,4916,2536,4131,5101,5765,4603,8227,4408,4735,8275,4356,20.5
Lineups,-201935-202699-203954-1629680-1630178-,J. Harden - T. Harris - J. Embiid - M. Thybulle - T. Maxey,1610612755,PHI,20,14,6,0.7,323,121.5,122.3,103.2,102.1,18.3,20.2,0.645,2.6,20.3,0.212,0.725,0.481,0.108,0.582,0.629,99.7,99.94,83.28,669,0.593,46,27,17121,6259,18,5062,9243,5543,6598,1736,4590,7903,8316,9401,9158,5977,5695,11479,6220,20.2
