cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,MIN,POSS,Predicted_Net_Rating
2,1,0,0,0,0,2,0,0,100000000,100000000,3.93923690039674
2,1,0,1,0,1,0,0,0,100000000,100000000,3.7937649282773878
2,1,0,0,0,0,1,0,1,100000000,100000000,3.7706366664850766
2,1,1,0,0,0,0,0,1,100000000,100000000,3.7706366664850766
2,1,2,0,0,0,0,0,0,100000000,100000000,3.7706366664850766
2,1,0,0,0,0,1,1,0,100000000,100000000,3.7706366664850766
2,1,0,0,1,0,1,0,0,100000000,100000000,3.7706366664850766
2,1,1,0,0,0,0,1,0,100000000,100000000,3.7706366664850766
2,1,1,0,1,0,0,0,0,100000000,100000000,3.7706366664850766
2,1,1,0,0,0,1,0,0,100000000,100000000,3.7706366664850766
2,1,0,0,0,0,0,1,1,100000000,100000000,3.7706366664850766
2,1,0,0,1,0,0,0,1,100000000,100000000,3.7706366664850766
2,1,0,0,1,0,0,1,0,100000000,100000000,3.7706366664850766
2,1,0,2,0,0,0,0,0,100000000,100000000,3.7577779679481846
2,1,0,1,1,0,0,0,0,100000000,100000000,3.7577779679481846
2,1,0,1,0,0,0,1,0,100000000,100000000,3.7577779679481846
2,1,0,1,0,0,0,0,1,100000000,100000000,3.7577779679481846
2,1,0,1,0,0,1,0,0,100000000,100000000,3.7577779679481846
2,1,1,1,0,0,0,0,0,100000000,100000000,3.7577779679481846
2,1,0,0,0,0,0,0,2,100000000,100000000,3.708996189065113
2,1,0,0,2,0,0,0,0,100000000,100000000,3.699891223178384
2,1,0,0,1,1,0,0,0,100000000,100000000,3.69914565806428
2,1,0,0,0,1,0,0,1,100000000,100000000,3.69914565806428
2,1,1,0,0,1,0,0,0,100000000,100000000,3.69914565806428
2,1,0,0,0,1,0,1,0,100000000,100000000,3.69914565806428
2,1,0,0,0,1,1,0,0,100000000,100000000,3.69914565806428
2,1,0,0,0,2,0,0,0,100000000,100000000,3.6706339913976134
3,1,0,1,0,0,0,0,0,100000000,100000000,3.6414909138240303
3,1,0,0,0,0,1,0,0,100000000,100000000,3.56466576180176
3,1,0,0,0,0,0,1,0,100000000,100000000,3.56466576180176
3,1,1,0,0,0,0,0,0,100000000,100000000,3.56466576180176
3,1,0,0,1,0,0,0,0,100000000,100000000,3.56466576180176
3,1,0,0,0,0,0,0,1,100000000,100000000,3.56466576180176
3,1,0,0,0,1,0,0,0,100000000,100000000,3.500308601763881
4,1,0,0,0,0,0,0,0,100000000,100000000,3.40350373055176
2,1,0,0,0,0,0,2,0,100000000,100000000,2.6924613299469384
2,2,0,1,0,0,0,0,0,100000000,100000000,2.4688811646725757
2,2,0,0,0,1,0,0,0,100000000,100000000,2.23584805364596
1,1,0,0,0,0,0,0,3,100000000,100000000,2.2122026826348375
2,2,0,0,0,0,0,0,1,100000000,100000000,2.1689047820500504
2,2,0,0,1,0,0,0,0,100000000,100000000,2.1689047820500504
2,2,0,0,0,0,0,1,0,100000000,100000000,2.1689047820500504
2,2,1,0,0,0,0,0,0,100000000,100000000,2.1689047820500504
2,2,0,0,0,0,1,0,0,100000000,100000000,2.1689047820500504
3,2,0,0,0,0,0,0,0,100000000,100000000,2.0932120431633545
2,3,0,0,0,0,0,0,0,100000000,100000000,2.091330435845447
2,0,0,0,0,0,0,0,3,100000000,100000000,1.9871241580608359
0,1,1,0,0,0,0,0,3,100000000,100000000,1.9498284887056323
0,1,0,0,0,0,1,0,3,100000000,100000000,1.9498284887056323
0,1,0,0,0,0,0,1,3,100000000,100000000,1.9498284887056323
0,1,0,0,0,0,0,0,4,100000000,100000000,1.9498284887056323
0,1,0,0,1,0,0,0,3,100000000,100000000,1.9498284887056323
0,1,0,0,0,0,2,0,2,100000000,100000000,1.8663255010473176
1,1,0,0,0,0,2,0,1,100000000,100000000,1.8512114275301226
1,1,1,0,0,0,2,0,0,100000000,100000000,1.8512114275301226
1,1,0,0,1,0,2,0,0,100000000,100000000,1.8512114275301226
1,1,0,0,0,0,2,1,0,100000000,100000000,1.8512114275301226
1,1,0,0,0,0,3,0,0,100000000,100000000,1.8512114275301226
0,1,0,0,0,1,0,0,3,100000000,100000000,1.8342809929949815
3,0,0,0,0,0,2,0,0,100000000,100000000,1.8028658754322142
2,0,0,0,0,0,3,0,0,100000000,100000000,1.8009774230512618
2,0,1,0,0,0,2,0,0,100000000,100000000,1.8009774230512618
2,0,0,0,0,0,2,0,1,100000000,100000000,1.8009774230512618
2,0,0,0,0,0,2,1,0,100000000,100000000,1.8009774230512618
2,0,0,0,1,0,2,0,0,100000000,100000000,1.8009774230512618
1,1,0,0,0,1,2,0,0,100000000,100000000,1.7724217871907064
0,1,1,0,0,0,3,0,0,100000000,100000000,1.7327237507585271
0,1,0,0,0,0,4,0,0,100000000,100000000,1.7327237507585271
0,1,1,0,0,0,2,0,1,100000000,100000000,1.7327237507585271
0,1,0,0,1,0,3,0,0,100000000,100000000,1.7327237507585271
0,1,0,0,1,0,2,0,1,100000000,100000000,1.7327237507585271
0,1,0,0,0,0,3,1,0,100000000,100000000,1.7327237507585271
0,1,0,0,1,0,2,1,0,100000000,100000000,1.7327237507585271
0,1,1,0,1,0,2,0,0,100000000,100000000,1.7327237507585271
0,1,1,0,0,0,2,1,0,100000000,100000000,1.7327237507585271
0,1,0,0,0,0,2,1,1,100000000,100000000,1.7327237507585271
0,1,0,0,0,0,3,0,1,100000000,100000000,1.7327237507585271
0,1,2,0,0,0,2,0,0,100000000,100000000,1.7327237507585271
2,0,0,0,1,0,0,0,2,100000000,100000000,1.7163817890132167
2,0,0,0,0,0,1,0,2,100000000,100000000,1.7163817890132167
2,0,0,0,0,0,0,1,2,100000000,100000000,1.7163817890132167
